index,entry_va,name,d1,d2,d3,d4,d1_desc,d2_desc,d3_desc,d4_desc
44,0x006D9028,AlwaysFlushLog,0x00000000,0x006F85AC,0x00000000,0x00000000,zero,str:`7n7,zero,zero
45,0x006D903C,ShowFrameRate,0x00000000,0x006F85B8,0x00000000,0x00000000,zero,data:u32=0x3c0437b4;f=0.00806992,zero,zero
46,0x006D9050,NumConsoleLines,0x00000000,0x006D8B50,0x00000000,0x00000000,zero,data:u32=0x00000006;f=8.40779e-45,zero,zero
47,0x006D9064,ConsoleEnable,0x00000000,0x006D8B54,0x00000000,0x00000000,zero,data:u32=0x00000001;f=1.4013e-45,zero,zero
48,0x006D9078,ScreenWidth,0x00000000,0x006D8B48,0x00000000,0x00000000,zero,data:u32=0x00000280;f=8.96831e-43,zero,zero
49,0x006D908C,ScreenHeight,0x00000000,0x006D8B4C,0x00000000,0x00000000,zero,data:u32=0x000001e0;f=6.72623e-43,zero,zero
50,0x006D90A0,Software,0x00000000,0x006F85B4,0x00000000,0x00000000,zero,str:0,zero,zero
51,0x006D90B4,BitDepth,0x00000000,0x006D8B44,0x00000000,0x00000000,zero,str: ,zero,zero
52,0x006D90C8,HWTnLDisabled,0x00000000,0x006F85B0,0x00000000,0x00000000,zero,str:,zero,zero
53,0x006D90DC,MusicEnable,0x00000000,0x006D8C60,0x00000000,0x00000000,zero,data:u32=0x00000001;f=1.4013e-45,zero,zero
54,0x006D90F0,SoundEnable,0x00000000,0x006D8C64,0x00000000,0x00000000,zero,data:u32=0x00000001;f=1.4013e-45,zero,zero
55,0x006D9104,ForceSoundDisable,0x00000000,0x006F85C0,0x00000000,0x00000000,zero,data:u32=0x3c223c13;f=0.00990202,zero,zero
56,0x006D9118,ShowSphereFindTicks,0x00000000,0x006F85D4,0x00000000,0x00000000,zero,data:u32=0x3f243f0d;f=0.641587,zero,zero
57,0x006D912C,ShowClassTicks,0x00000000,0x006F85CC,0x00000000,0x00000000,zero,data:u32=0x3d3e3c79;f=0.0464444,zero,zero
58,0x006D9140,ShowClassTicksSpecific,0x00000000,0x00000000,0x00000000,0x006F85D0,zero,zero,zero,data:u32=0x3ecf3d94;f=0.404767
59,0x006D9154,ShowGameTime,0x00000000,0x006F85C8,0x00000000,0x00000000,zero,data:u32=0x3c5a3c54;f=0.01332,zero,zero
60,0x006D9168,JoystickDisable,0x00000000,0x006F853C,0x00000000,0x00000000,zero,data:u32=0x34493435;f=1.87386e-07,zero,zero
61,0x006D917C,TraceConsole,0x00000000,0x006F8540,0x00000000,0x00000000,zero,data:u32=0x3471345d;f=2.24639e-07,zero,zero
62,0x006D9190,ShowFileAccess,0x00000000,0x006F8544,0x00000000,0x00000000,zero,data:u32=0x35cd3489;f=1.5289e-06,zero,zero
63,0x006D91A4,FullLightScale,0x00000000,0x006F854C,0x00000000,0x00000000,zero,data:u32=0x39bb3888;f=0.000357095,zero,zero
64,0x006D91B8,ForceClear,0x00000000,0x006F8550,0x00000000,0x00000000,zero,data:u32=0x3bc43b33;f=0.0059885,zero,zero
65,0x006D91CC,ModelTransitionMS,0x00000000,0x006D8B24,0x00000000,0x00000000,zero,data:u32=0x000000c8;f=2.8026e-43,zero,zero
66,0x006D91E0,HighPriority,0x00000000,0x006F856C,0x00000000,0x00000000,zero,data:u32=0x00003a8c;f=2.10027e-41,zero,zero
67,0x006D91F4,ShowConnStats,0x00000000,0x006F8548,0x00000000,0x00000000,zero,data:u32=0x380b37d5;f=3.31922e-05,zero,zero
68,0x006D9208,MasterPaletteMode,0x00000000,0x006D8B20,0x00000000,0x00000000,zero,data:u32=0x00000002;f=2.8026e-45,zero,zero
69,0x006D921C,LTDMConsoleOutput,0x00000000,0x006D8C94,0x00000000,0x00000000,zero,data:u32=0x00000002;f=2.8026e-45,zero,zero
70,0x006D9230,MipMapOffset,0x00000000,0x006F85E0,0x00000000,0x00000000,zero,str:,zero,zero
71,0x006D9244,GroupOffset0,0x00000000,0x006F84E4,0x00000000,0x00000000,zero,data:u32=0x36fa36f5;f=7.45698e-06,zero,zero
72,0x006D9258,GroupOffset1,0x00000000,0x006F84E8,0x00000000,0x00000000,zero,data:u32=0x37443701;f=1.16953e-05,zero,zero
73,0x006D926C,GroupOffset2,0x00000000,0x006F84EC,0x00000000,0x00000000,zero,data:u32=0x3752374a;f=1.25298e-05,zero,zero
74,0x006D9280,GroupOffset3,0x00000000,0x006F84F0,0x00000000,0x00000000,zero,data:u32=0x375d3758;f=1.31855e-05,zero,zero
75,0x006D9294,Name,0x00000000,0x00000000,0x006F859C,0x00000000,zero,zero,data:u32=0x39823954;f=0.000248382,zero
76,0x006D92A8,ModelDrawDistMultiplier,0x006DB898,0x00000000,0x00000000,0x00000000,str:,zero,zero,zero
77,0x006D92BC,MinModelDrawDist,0x006DB89C,0x00000000,0x00000000,0x00000000,str:,zero,zero,zero
78,0x006D92D0,DefaultDrawIndexedDist,0x006DB894,0x00000000,0x00000000,0x00000000,str:,zero,zero,zero
79,0x006D92E4,MaxFPS,0x006F8534,0x00000000,0x00000000,0x00000000,data:u32=0x32fb32d9;f=2.92434e-08,zero,zero,zero
80,0x006D92F8,LatencySim,0x006F8554,0x00000000,0x00000000,0x00000000,data:u32=0x3c953c04;f=0.0182171,zero,zero,zero
81,0x006D930C,DropRate,0x006F8558,0x00000000,0x00000000,0x00000000,str:,zero,zero,zero
82,0x006D9320,LODScale,0x006D8C68,0x00000000,0x00000000,0x00000000,str:,zero,zero,zero
83,0x006D9334,DebugMaxDims,0x006D8C74,0x00000000,0x00000000,0x00000000,str:,zero,zero,zero
84,0x006D9348,DebugMaxPos,0x006F85C4,0x00000000,0x00000000,0x00000000,data:u32=0x3c413c27;f=0.0117941,zero,zero,zero
85,0x006D935C,TimeScale,0x006D8C70,0x00000000,0x00000000,0x00000000,str:,zero,zero,zero
86,0x006D9370,MaxExtrapolateTime,0x006D8B38,0x00000000,0x00000000,0x00000000,str:,zero,zero,zero
87,0x006D9384,NearRoundoff,0x006D8B3C,0x00000000,0x00000000,0x00000000,data:u32=0x3a83126f;f=0.001,zero,zero,zero
88,0x006D9398,ConsoleHistoryLen,0x00000000,0x006D8C78,0x00000000,0x00000000,zero,data:u32=0x00000014;f=2.8026e-44,zero,zero
89,0x006D93AC,ConsoleBufferLen,0x00000000,0x006D8C7C,0x00000000,0x00000000,zero,data:u32=0x000001f4;f=7.00649e-43,zero,zero
90,0x006D93C0,ConsoleAlpha,0x006D8C80,0x00000000,0x00000000,0x00000000,str:,zero,zero,zero
91,0x006D93D4,ConsoleLeft,0x00000000,0x006D8C84,0x00000000,0x00000000,zero,data:u32=0xffffffff;f=nan,zero,zero
92,0x006D93E8,ConsoleTop,0x00000000,0x006D8C88,0x00000000,0x00000000,zero,data:u32=0xffffffff;f=nan,zero,zero
93,0x006D93FC,ConsoleRight,0x00000000,0x006D8C8C,0x00000000,0x00000000,zero,data:u32=0xffffffff;f=nan,zero,zero
94,0x006D9410,ConsoleBottom,0x00000000,0x006D8C90,0x00000000,0x00000000,zero,data:u32=0xfffffffe;f=nan,zero,zero
95,0x006D9424,DrawDebugGeometry,0x00000000,0x006F85D8,0x00000000,0x00000000,zero,data:u32=0x3f7a3f41;f=0.977528,zero,zero
96,0x006D9438,CompressLightGrid,0x00000000,0x006D8C98,0x00000000,0x00000000,zero,data:u32=0x00000002;f=2.8026e-45,zero,zero
97,0x006D944C,OrientFrameRate,0x00000000,0x006F85E4,0x00000000,0x00000000,zero,str:0,zero,zero
98,0x006D9460,IPClientPort,0x00000000,0x006F85E8,0x00000000,0x00000000,zero,data:u32=0x316230f3;f=3.29152e-09,zero,zero
99,0x006D9474,IPClientPortRange,0x00000000,0x006D8C9C,0x00000000,0x00000000,zero,data:u32=0x00000001;f=1.4013e-45,zero,zero
100,0x006D9488,IPClientPortMRU,0x00000000,0x006F85EC,0x00000000,0x00000000,zero,data:u32=0x3376332b;f=5.73229e-08,zero,zero
101,0x006D949C,BandwidthTargetClient,0x00000000,0x006D8CA0,0x00000000,0x00000000,zero,str:,zero,zero
102,0x006D94B0,BandwidthTargetServer,0x00000000,0x006D8CA4,0x00000000,0x00000000,zero,str:,zero,zero
103,0x006D94C4,DebugModelRez,0x00000000,0x006F85DC,0x00000000,0x00000000,zero,data:u32=0x3ff63fdf;f=1.92382,zero,zero
104,0x006D94D8,NewPlayerPhysics,0x00000000,0x006D8CA8,0x00000000,0x00000000,zero,data:u32=0x00000001;f=1.4013e-45,zero,zero
105,0x006D94EC,UDPSimulatePacketLoss,0x00000000,0x006F85F0,0x00000000,0x00000000,zero,data:u32=0x33db338d;f=1.02074e-07,zero,zero
106,0x006D9500,UDPSimulateCorruption,0x00000000,0x006F85F4,0x00000000,0x00000000,zero,data:u32=0x34803463;f=2.388e-07,zero,zero
107,0x006D9514,ModelOnlyUpdateDirtyTrackers,0x00000000,0x006D8B28,0x00000000,0x00000000,zero,data:u32=0x00000001;f=1.4013e-45,zero,zero
108,0x006D9528,MotionBlurEnable,0x00000000,0x006D8CAC,0x00000000,0x00000000,zero,data:u32=0x00000001;f=1.4013e-45,zero,zero
109,0x006D953C,MotionBlurMode,0x00000000,0x006F85F8,0x00000000,0x00000000,zero,data:u32=0x3bac3ab6;f=0.00525602,zero,zero
110,0x006D9550,MotionBlurBlendFactor,0x00000000,0x006D8CB0,0x00000000,0x00000000,zero,data:u32=0xff080808;f=-1.80817e+38,zero,zero
111,0x006D9564,MotionBlurFadeoutTime,0x006F85FC,0x00000000,0x00000000,0x00000000,data:u32=0x3c583bd2;f=0.0131979,zero,zero,zero
112,0x006D9578,MotionBlurActivated,0x00000000,0x006F8600,0x00000000,0x00000000,zero,data:u32=0x3cf23ce2;f=0.02957,zero,zero
